"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"Deque FireEyes 1","Deque's FireEyes browser plug-in allows users to find and correct web accessibility errors. It can provide a detailed and comprehensive report of any accessibility errors on any of the pages within their site. Users can then send that error report to the WorldSpace public server where they can download it as an Excel or .csv file.","Content Accessibility Evaluation",Denied,Desktop,-
"Desigo CC (v4.x, v3.x, v2.x)","The Desigo CC management platform presents a single point of entry for users to operate, monitor and optimize building automation, fire safety and security systems.  With system functions such as event management (events and alarms), time scheduling and trend logging, combined with advanced control functions.  Desigo CC operates on standards such as BACnet, OPC, Modbus, IEC 61850, SNMP and ONVIF, allowing external applications to read and write real-time data via a web service interface. 3rd-party devices using proprietary protocols can also be integrated through Desigo CC drivers.","Building Automation",Approved,Server,2022-11-16
"Desigo CC v5.x","Desigo CC is a powerful platform based on an open architecture, which clearly simplifies technology integration. It can integrate various systems and devices, automate processes and it is scalable and flexible to meet the requirements of any building or project size.","Building Automation",Approved,Server,2023-12-29
"Desigo Flex Client v5.x","Flex Client is the new HTML5 front-end of Desigo CC that can run on any operating system and web browser supporting HTML5 technology, and also mobile devices such as tablets – all without requiring installation steps.","Building Automation",Approved,Server,2023-12-29
"Device Director 1.1.x","Device Director is a comprehensive, Windows-based utility that is used to install, configure and maintain multiple Vertiv devices on the network.","Building Automation",Denied,Server,2023-06-21
"Diode Configuration Tool 21.x","This tool allows a user to configure diode settings. Compatible with diodes running firmware version 3.1.0.","Building Automation",Approved,Desktop,2023-09-01
"Diode Diagnostic Tool 21.x","This tool assists with troubleshooting issues during diode installation.  Compatible with diodes running firmware version 3.1.0","Building Automation",Approved,Desktop,2023-09-13
"Display Manager","This technology increases the capability of a user to organize multiple applications on the screen where multiple monitors or widescreen monitors are being used, as well as improved monitor switching between multiple inputs.",Peripherals,Exception,Desktop,2023-07-10
"DisplayLink USB Graphics Software 9.x","To utilize USB-based Universal Docking Stations with Multiple Monitor Support for better productivity on GFE Laptops at AAC Site and at home where GSA would not provide Docking stations.",Peripherals,Approved,Desktop,2023-04-28
"DisplayLink USB Graphics Software for MacOS v1.x","To utilize USB-based Universal Docking Stations with Multiple Monitor Support for better productivity on GFE Laptops at AAC Site and at home where GSA would not provide Docking stations.  Limited – Per use case approval.",Peripherals,Approved,Desktop,2024-03-08
"DisplayLink USB Graphics Software for Windows v10.x","To utilize USB-based Universal Docking Stations with Multiple Monitor Support for better productivity on GFE Laptops at AAC Site and at home where GSA would not provide Docking stations.  DisplayLink technology makes it simple to connect any display to any computer that supports USB or Wi-Fi and provides universal solutions for a range of corporate, home and embedded applications where easy connectivity of displays enhances productivity.  With DisplayLink, expanding your visual workspace has never been easier or more affordable.",Peripherals,Approved,Desktop,2024-02-23
"Django v3.x","We used Django 1.x in eBuy website and need to upgrade to comply with EOL for Advantage ATO.","Programming Environment",Approved,Server,2023-02-01
Do,"Do! is the easiest way to use the ‘To Do List' app in iOS. Don’t waste any more time in making list; intuitive, extremely simple input.
Use Google Tasks","Miscellaneous Software",Denied,SaaS,-
"DocHub - Sign and Edit PDFs","Free online PDF editor. Sign, edit, and share PDFs, Word documents; add text, draw, add signatures, make templates. Integrates with Dropbox and Google drive.  Save as PDF and use Adobe to sign/edit","PDF Software",Denied,SaaS,-
"Docker Compose 1.27","Docker Compose is needed to build a new application which fulfills PBS business requirements.  Compose is a tool for defining and running multi-container Docker applications.","Software Development",Approved,Other,2022-12-02
"Docker Desktop v4.x (Win/Mac)","Tools for Developers  Docker Desktop is an easy-to-install application for your Mac or Windows environment that enables you to build and share containerized applications and microservices. Docker Desktop includes Docker Engine, Docker CLI client, Docker Compose, Docker Content Trust, Kubernetes, and Credential Helper.
 
Docker Desktop works with your choice of development tools and languages and gives you access to a vast library of certified images and templates in Docker Hub. This enables development teams to extend their environment to rapidly auto-build, continuously integrate, and collaborate using a secure repository.","Development Tool",Approved,Server,2024-01-04
"Docker Engine 19.03","Docker Engine is needed to build a new application which fulfills PBS business requirements.  Docker Engine is an open source containerization technology for building and containerizing your applications.  Docker Engine acts as a client-server application.","Software Development",Approved,Other,2022-12-02
"Documentum Composer v16.x","Software is essential for development and deployment of enterprise web applications supporting numerous businesses and business applications.","Development Tool",Approved,Desktop,2022-10-17
"DOE BLCC 5.x 2020","This program is needed by the Region 6 Energy Team to evaluate and analyze the financial payback life cycle cost analysis for potential energy projects.  The program is freeware provided by the US Department of Energy. Program is available on the DOE website.","Project Management Tools",Approved,Desktop,2023-02-13
"DoE eQuest 3.x","DOE-2 is a widely used and accepted freeware building energy analysis program that can predict the energy use and cost for all types of buildings. DOE-2 uses a description of the building layout, constructions, usage, conditioning systems (lighting, HVAC, etc.) and utility rates provided by the user, along with weather data, to perform an hourly simulation of the building and to estimate utility bills.",Modeling,Sunsetting,Server,2018-07-01
"Doist Todoist for Windows 831","Todoist is a project management application for personal and professional productivity. It allows users to manage their tasks from a smartphone, tablet or computer, customize their experience, organize their tasks and projects, and optimize productivity. Manage tasks and projects anywhere with Todoist on 10+ platforms.  The app is free, though additional features to enable collaboration are available in a paid version.","Project Management Tools",Denied,Desktop,-
DriveConverter,"DriveConverter is a web app which allows you to convert files that you save in Google Drive. The type of files it can convert are documents, images and audio.  It expands on Google Drive's built-in file conversion tools to allow users to convert uploaded files to a larger variety of formats.
Use internal products such as Office, Google Docs, or Adobe","Miscellaneous Software",Denied,SaaS,-
"Dropbox Client 2","Dropbox is a file hosting service operated by Dropbox, Inc. that offers cloud storage, file synchronization, personal cloud, and client software. Dropbox allows users to create a special folder on their computers, which Dropbox then synchronizes so that it appears to be the same folder (with the same contents) regardless of which computer is used to view it. Files placed in this folder are also accessible via the Dropbox website and mobile apps.",Storage,Denied,SaaS,-
"Dropbox Mobile App","Dropbox syncs files your smartphone and tablet with your laptop or desktop. Access your files on the go.",Mobile,Denied,SaaS,-
"Dropbox Service","Dropbox is a file hosting service operated by Dropbox, Inc. that offers cloud storage, file synchronization, personal cloud, and client software. Dropbox allows users to create a special folder on their computers, which Dropbox then synchronizes so that it appears to be the same folder (with the same contents) regardless of which computer is used to view it. Files placed in this folder are also accessible via the Dropbox website and mobile apps.",Storage,Denied,SaaS,-
"Drupal 9","We have websites and applications running on Drupal 7 that will have to be upgraded to Drupal 9 before 7 goes EOL by November 2022.",-,Approved,Other,2022-12-29
"DYMO Stamps","DYMO Stamps provides users with a quick and simple way to print postage right from their desks. Skip time-consuming trips to the Post Office, and get back to business.",Peripherals,Denied,Desktop,-
"Dynamics 365 Modern Point Of Sale (MPOS)","The Retail Systems (GECO3) is a GSA Omnichannel Retail Point of Sale and Web based storefront for creating order “requests” that go through approval workflow before being processed as orders, installed in selected GSA ServMart locations (Scalable to support 100+ stores) to capture and process orders for retail sales. It is a distributed system that comprises Microsoft Dynamics 365, nChannel Integration Platform, System Interconnections and Interfaces.","Order Management",Approved,Desktop,2022-11-04
"Dynamo Studio","Users with in PBS business lines require this software in order to complete daily work functions. Software is users to create and modify current building CAD drawings.  Users will request software via a help desk ticket. Once the ticket is created the application will be pushed and or installed onto their workstation.","CAD-Computer-Aided Design",Approved,Desktop,2022-11-04
"Dynatrace Application Monitoring","Dynatrace will allow GSA IT to monitor it's applications performance in a way that is not currently possible. Dynatrace will allow for advanced full stack monitoring and we will better be able to resolve performance or availability issues before they impact your customers.","Application Servers",Approved,Other,2023-06-19
Easygenerator,"To support PT's FY18 strategic plan, we need our 4 users to rapidly develop online training courses via a browser-based interface to allow them to take advantage of mobile work options; we also need the ability to create training content that can be distributed to/accessible to PBS tenant agency customers without requiring any special access/learning management system. We must do this at a minimum cost with an easy-to-learn tool to allow our subject matter experts to create and distribute training rapidly. We have already tested Easygenerator course output in the SuccessFactors OLU environment. Others on the approved list do not meet the needs due to various reasons primarily higher costs, requirement to be installed locally on laptop, more complex interface requiring a larger learning curve, and inability to produce stand-alone training files (for our customer training).  CTO approves and here is his recommendation - ""CTO approves - based on the fact that this has already gone through LiSaaS, let's move forward.   The requester should be aware that this product is not 508 compliant - any training that is produced from the product, though, would likely need to be accessible, so you should ensure that it the case.""   The LiSaaS approval is valid until 11/7/2018.","Content Rendering",Sunsetting,SaaS,2018-11-01
"EasyPano Tourweaver 7","Tourweaver 7 is a professional virtual tour creating software. It presents a real 360 degree world with panoramic view and transition. Sounds, Video, Maps and more great features can be explored in virtual tour.","Miscellaneous Software",Denied,Desktop,-
"EBI r500.1cu5","This is a Supervisory Control Software (SCS) that is integrated with the BAS network and commands HVAC controllers.","Building Automation",Approved,Server,2022-04-14
"EC-gfxProgram v6.x","This is a Building Automation System (BAS) software used to support the building system at PBS facilities. BAS is centralized control of a building's heating, ventilation and air conditioning, lighting and other systems through a building management system or building automation system (BAS). The objectives of building automation are improved occupant comfort, efficient operation of building systems, reduction in energy consumption and operating costs, and improved life cycle of utilities.","Building Automation",Approved,Desktop,2024-03-29
"EC-Net AX Supervisor Distech","EC-NetAX Supervisor flexible graphical user interface provides traditional building management functions such as scheduling, trending, alarming, historical data collection and advanced energy management applications.","Building Management",Denied,SaaS,-
"Echelon OpenLNS Commissioning Tool","This is a Building Automation tool that gets installed with Quark Communications InetSupervisor. 
Install and commission a community of devices by simply drawing your network with the integrated Microsoft Visio tool. As you draw your network, the IzoT Commissioning Tool communicates with your devices and automatically configures them to match your drawing. The IzoT Commissioning Tool is the OpenLNS Commissioning Tool combined with an IzoT Net Server -- adding support for native LonTalk/IP devices in addition to classic LON devices.","Building Automation",Approved,Server,2022-03-21
"Eclipse 2020_03","Requesting current/latest version of Eclipse to be loaded in Citrix desktop environments to support review of Salesforce code.
Open Source freeware no license required.",Other,Approved,Server,2022-04-28
"Eclipse 2020_12","The current version is Eclipse 2020_12 (4.18); this version is more stable and up-to-date with support for current versions of programming languages used by GSA.  We need this product to safely build software for GSA.","Development Tool",Approved,Desktop,2023-03-23
"Eclipse 2021_x","Update to Eclipse approved version in GEAR up through Eclipse 2021_3.  FAS IT development teams are moving forward with various modernizations and need regular updates to the development tools they are using.  Eclipse is one of these tools.    
https://www.eclipse.org/eclipseide/

https://www.eclipse.org/downloads/packages/","IDE-Integrated Development Environment",Approved,Desktop,2023-06-14
"Eclipse Oxygen 4.x","Eclipse is an open source community of Tools, Projects and Collaborative Working Groups.
https://www.eclipse.org/downloads/packages/release/oxygen","IDE-Integrated Development Environment",Approved,Desktop,2022-03-31
"EcoDomus (BIM)","Ecodomus provides a Common Data Environment (CDE) for Building Information Models (BIM) and Computer Aided Drafting(CAD). The tool provides a robust platform for viewing, validating and managing the data inside of BIM/CAD, as well as providing an integration point through which all technical building information flows.  Ideally, Ecodomus would connect to the NCMMS(Maximo), Kahua, Tririga and GIS platforms and more.  There is significant advantage to being able to visualize real-world conditions of facilities in digital form.  Ecodomus is fully integrated with the national Central Facilities Repository (CFR) application, providing CDE services to all PBS business lines.  Ecodomus exists within the security boundary of CFR, accessed only by internal users via the national PBS Portal.","Building Information Modeling",Approved,Server,2023-04-07
"Ecodomus BIM Connector 2018","With the recent approval of Ecodomus software for server, there is a need to utilize a BIM connector on the desktop that provides a communication bridge between Autodesk Revit 2018 and the Ecodomus data repository.  The Ecodomus BIM connectors are specifically matched to Revit releases and Revit releases are specifically matched to PBS contracted deliverables.",Plugins/Libraries,Approved,Desktop,2023-03-17
"Ecodomus BIM Connector 2019","With the recent approval of Ecodomus software for server, there is a need to utilize a BIM connector on the desktop that provides a communication bridge between Autodesk Revit 2019 and the Ecodomus data repository.  The Ecodomus BIM connectors are specifically matched to Revit releases and Revit releases are specifically matched to PBS contracted deliverables.",Plugins/Libraries,Approved,Desktop,2023-03-23
"Ecodomus BIM Connector 2020","With the recent approval of Ecodomus software for server, there is a need to utilize a BIM connector on the desktop that provides a communication bridge between Autodesk Revit 2020 and the Ecodomus data repository.  The Ecodomus BIM connectors are specifically matched to Revit releases and Revit releases are specifically matched to PBS contracted deliverables.",Plugins/Libraries,Approved,Desktop,2023-03-23
"Ecodomus BIM Connector 2021","With the recent approval of Ecodomus software for server, there is a need to utilize a BIM connector on the desktop that provides a communication bridge between Autodesk Revit 2021 and the Ecodomus data repository.  The Ecodomus BIM connectors are specifically matched to Revit releases and Revit releases are specifically matched to PBS contracted deliverables.",Plugins/Libraries,Approved,Desktop,2023-03-23
"Ecodomus IFC Connector","With the recent approval of Ecodomus software for server, there is a need to utilize an IFC connector on the desktop that provides a communication bridge between BIM products other than Autodesk Revit and the Ecodomus data repository. Industry Foundation Classes (IFC) represent an open format relaying geometry and data from nearly all BIM development tools, such as Graphisoft Archicad and Bentley Microstation.",Plugins/Libraries,Approved,Desktop,2023-04-06
"eCommission SmartX 3.xx","The eCommission SmartX Controllers application is revolutionizing the commissioning process by providing workflows tailored specifically for Technicians, Electricians, and Flow Balancers to access SmartX IP Controllers directly via their laptop devices. This application allows for device configuration (including network settings), I/O checkout operations, and flow balancing across all SmartX IP Controllers.","Building Automation",Approved,Desktop,2023-02-17
"EcoStruxure Power Commission 2.20.x","The EcoStruxure Power Commission is an all-in-one software tool that offers easy configuration, reliable testing methodologies, and integrated reporting for all smart devices in your electrical equipment distribution.","Building Automation",Approved,Desktop,2023-07-21
"EcoStruxure(EBO) Enterprise Server & WebReports v3.x","The Schneider Electric EcoStruxure Building Operation (EBO) Enterprise Server is the central point from which users can configure, control, and monitor the entire system. The Enterprise Server can run multiple control programs using a variety of protocols. It can manage alarms, users, schedules, and logs. Data from the Enterprise Server can be delivered directly to the user or to other devices and servers throughout the site or enterprise.","Building Automation",Approved,Server,2023-03-24
"EDVARS Environmental Database","Environmental Data Verification, Analysis and Reporting System (EDVARS) Environmental Database - The EDVARS DBMS and the create EDD software were created by URS Corp under contract with GSA for the Region 8 Environmental Program. GSA owns the rights to the code, but not exclusively, URS retained the rights to use it commercially for their clients.  So it is proprietary software used by and developed for the Environmental Program Groups for the Consent Order Program with the State Health Department of Colorado.  The software houses our admin record for the program and include the capability to upload, review, and evaluate all the Environmental data for Reg 8 and Reg 6.","Data Management",Approved,Desktop,2023-01-20
"Ekahau Pro","One of the initiatives we have for FY21 is to refresh the GSA wireless infrastructure, which is currently end of support.  In order to continue providing world-class Wi-Fi for GSA employees, contractors, and guests, we need to evaluate the existing infrastructure and provide improvements as required.  Ekahau Pro allows us this by giving us the tools we need to define, design, deploy, and validate the GSA WLAN.",Infrastructure,Approved,Desktop,2022-08-11
"Elastic Endpoint Security (Endgame) v3.x","We are looking at switching off our current NGAV CylanceProtection to EndGame.  It will be install on Windows/Linux/OSX. This is a agent with no end user usage.  This includes the agent called 'Esensor'.","Security and Assurance",Approved,Other,2023-02-10
"Elastic Kibana 4.x","Part of the ELK Stack Solution. Kibana lets you visualize your Elasticsearch data and navigate the Elastic Stack","Data Management",Sunsetting,SaaS,2018-12-01
"Elastic Logstash 2.x","Logstash is an open source, server-side data processing pipeline that ingests data from a multitude of sources simultaneously, transforms it, and then sends it to your favorite â€œstash.â€ 
 
 Part of the ELK Stack Solution)","Data Management",Sunsetting,SaaS,2018-12-01
"Elastic SaaS - Fedramp","Test out Elastic FedRAMP Solution.","Security and Assurance",Pilot,SaaS,2021-12-15
"Elastic Stack","Note - This tool is approved for use only if it is being self-hosted.  All other use cases must undergo IT Standards Approval.  Reliably and securely take data from any source, in any format, then search, analyze, and visualize it in real time.","Reporting and Analysis",Approved,Other,2022-12-22
"ELK Stack 7.x","ELK Stack is needed to build a new platform and application for PBS IT.  ELK Stack's function is to reliably and securely take data from any source, in any format, then search, analyze, and visualize it in real time.",Miscellaneous,Approved,Other,2023-01-23
Ember.js,"Ember is open source and is being used to develop the front end of FDMS.gov (Federal Docket Management System) and Beta.Regulations.gov.","Programming Language",Approved,Server,2022-11-04
Empower,"Leverage AI to improve and optimize various GSA services, for example via AI Ops, better insight into Service Now data, etc.",Other,Approved,Server,2023-09-22
"Empower- Add-ons v7.x","Empower- Add-ons will be used to automate repetitive error-prone tasks which increase the efficiency and accuracy of work performed. Additionally, the low/no code Interactive Development Environment (IDE) will give more users access to automate various tasks they perform daily. The automation combined with reduction in errors will result in cost savings and speed improvements for GSA.",Other,Approved,Server,2024-01-11
"Encelium Extend Polaris 3D 3.6.x","Polaris 3D is used to commission, configure, and manage the ENCELIUM EXTEND Networked Light Management System (LMS) and also stores system data to enable various reporting features through the Advanced Energy Reporting Module.  A web-based application, Polaris 3D features an interactive three dimensional view of a building or complex in real-time.","Building Automation",Approved,Server,2022-10-27
"ENCELIUM X Polaris Config 5.x","ENCELIUM X Polaris Config is used to commission and configure the ENCELIUM X Networked Light Management System (LMS).","Building Automation",Approved,Server,2023-11-29
"ENCELIUM X Polaris Monitor 5.x","ENCELIUM X Polaris Monitor is used to monitor and manage the ENCELIUM X Networked Light Management System (LMS).","Building Automation",Approved,Server,2023-11-29
"Enterprise Client (TEC) and Web Module (TWM) 6.x","The Telog Instruments Enterprise Client and Web Module is a remote monitoring system (software) which provides data management, data collection, data transfer, and data sharing.","Building Automation",Approved,Server,2022-03-31
"EPA Tier 2 Submit 2021","This software is required in order to submit facility inventories to EPA, LEPC and Fire Departments.  If these inventories are not submitted by the due date of March 1st, GSA will not be in compliance and may face monetary fines.  Tier2 Submit is a free software tool that is provided by the EPA to assist States, Tribes, and Territories in their collection of Hazardous Chemical and Extremely Hazardous Chemical (EHS) Information. It is intended for facilities to use, to meet the annual Tier II submission requirements of the Emergency Planning and Community Right-to-Know Act (EPCRA) [40 CFR Part 370].","Reporting and Analysis",Approved,Desktop,2024-01-26
"eQuest v 3.x","Software is used by contractors to model energy conservation measures per ESPC IDIQ.  Department of Energy prescribed software for energy modelling and simulation.",-,Approved,Desktop,2024-03-14
"Erwin Data Modeler Workgroup Edition v9.x","Integrated Awards Environment needs to use this Erwin Data Modeling tool for governing our data modeling processes.  We will install this client-side tool on a few of our data analyst's GSA GFE systems.  Erwin Data Modeler Workgroup Edition is designed to support collaborative modeling teams and govern the data modeling process. It provides conflict resolution, versioning, security and standardization for multi-user modeling. Through a central model repository, model assets can be inventoried and re-used across the organization.",Modeling,Approved,Desktop,2022-10-21
"eSMART v10.x","eSMART v10.x replaces out dated eSMART 9 AutoCAD client.  This is a local install on SDM computers.  Note that eSMART v10.x is no longer dependent on Oracle Client.","CAD-Computer-Aided Design",Approved,Desktop,2023-03-22
"Esri ArcGIS for Desktop 10.x","ArcGIS is an integrated collection of GIS software products. It provides a standards-based platform for spatial analysis, data management, and mapping.","GIS-Geographic Information System",Approved,Desktop,2022-10-03
"Esri ArcGIS Pro v2.x","ArcGIS Pro is a 64-bit software with a new graphics engine that provides a smooth map display and the latest in 3D visualization. Streamline your work with multiple views, map layouts and multithreaded processing.","GIS-Geographic Information System",Approved,Desktop,2022-09-13
"ETABS plus","ETABS is an engineering software product that caters to multi-story building analysis and design. Modeling tools and templates, code-based load prescriptions, analysis methods and solution techniques, all coordinate with the grid-like geometry unique to this class of structure.  ETABS is one of the top 3 structural analysis 3D modeling softwares used by structural engineers. These 3D structural models are submitted to GSA by engineering firms or Design-Build Contractor teams as part of code compliance & design review submittals.","CAD-Computer-Aided Design",Approved,Desktop,2022-07-21
"Everbridge Mass Notification","Industry-leading mass notification platform that provides organizations with incident management assistance.  Everbridge Mass Notification enables organizations to send notifications via 25+ contact paths to individuals or groups using lists, locations, and visual intelligence. This comprehensive notification solution keeps your contacts informed before, during and after all events operational incidents, and emergencies","Electronic Publishing",Approved,SaaS,2023-03-24
Evernote,"Evernote is a cross-platform, freemium app designed for note taking, organizing, and archiving.  The app allows users to create a ""note"" which can be a piece of formatted text, a full webpage or webpage excerpt, a photograph, a voice memo, or a handwritten ""ink"" note. Notes can also have file attachments. Notebooks can be added to a stack while notes can be sorted into a notebook, tagged, annotated, edited, given comments, searched, and exported as part of a notebook.","Collaboration Software",Denied,Desktop,-
exercism.io,"Exercism.io is a service that lets software developers improve their software development skills in a structured environment","Programming Environment",Denied,Desktop,-
Expo,"Expo provides tools need to build React Native app capabilities like Camera, location etc.  Expo also provides build service to create app-store ready binaries.  We will use the expo packages to provide specific functionalities to meet the requirements of the software. As well as utilize their build services to aid in build and deployment.",Mobile,Approved,Server,2022-11-04
"ExTech Datalogger RHT10 v5.x.x","The RHT10 datalogs Humidity and Temperature readings (up to 16,000 each) with user programmable sample rates from 2 seconds up to 24 hours for days, weeks and months.  USB interface for easy setup and download.  Dew Point indication via the included Windows software.","Building Management",Approved,Desktop,2023-04-20
"ExtraLabs Software Feed Editor 6","ExtraLabs Software Feed Editor is an easy-to-use and convenient interface makes for fast and effortless processing of RSS feeds. Wizard-driven user guidance prevents mistakes during RSS feed creation.","Information Exchange Standards",Denied,Desktop,-
f.lux,"Flux makes the color of your computer's display adapt to the time of day, warm at night and like sunlight during the day.","Miscellaneous Software",Denied,Desktop,-
"Fail2Ban v0.x","Fail2Ban is an intrusion prevention software framework that protects computer servers from brute-force attacks. Fail2ban scans log files and bans IPs that show the malicious signs -- too many password failures, seeking for exploits, etc. Generally Fail2Ban is then used to update firewall rules to reject the IP addresses for a specified amount of time, although any arbitrary other action (e.g. sending an email) could also be configured.","Security and Assurance",Approved,Server,2024-03-18
"FastCGI for Apache - mod_fcgi 2.x","This is a FastCGI implementation for Apache HTTP Server versions 2.0, 2.2, and 2.4. mod_fcgid is a high performance alternative to mod_cgi or mod_cgid, which starts a sufficient number instances of the CGI program to handle concurrent requests, and these programs remain running to handle further incoming requests.",Plugins/Libraries,Sunsetting,Server,2018-11-01
"Fiberlink MaaS360","Software-as-a-service (SaaS) that delivers enterprise mobile device, application, document, and expense management. MaaS360 provides rapid deployment, and comprehensive visibility and control that spans across mobile devices, applications, and documents. MaaS360 supports all devices including the iPhone, iPad, Android, Windows Phone, BlackBerry, and Kindle Fire.","Asset Management,Mobile",Sunsetting,SaaS,2018-06-01
Figma,"Figma’s focus on collaboration and shared workspaces is unique and makes it stand out from other interaction design tools. There are many benefits to real-time collaboration for designers, developers, and all members of cross-functional product teams. Figma can help our team save time and effort spent on file transfer, version control, and what are usually labor-intensive handoffs between team members.",Design,Approved,SaaS,2023-07-15
"FileZilla Client 3.x","FileZilla is a free File Transfer Protocol (FTP) used to transfer files between a client and a server over the internet or any other TCP/IP network.  It supports a variety of file transfer protocols including FTPS, SFTP, and SCP.  https://filezilla-project.org/","Network Devices/Standards",Approved,Desktop,2023-12-31
"FireEye HX 31.X","We need this technology to prevent against cyber attacks and malware.  Enterprise wide deployment will be done through BigFix to include laptops and servers.","Intrusion Detection and Prevention",Approved,Desktop,2023-06-26
"FireEye HX 32.X","We need this technology to prevent against cyber attacks and malware. Enterprise wide deployment will be done through BigFix to include laptops and servers.","Intrusion Detection and Prevention",Approved,Other,2022-09-28
"FireEye HX v33.x","FireEye HX is forensic tool , primarily used for incident response.  We also  need this tool to prevent against cyber attacks and malware since it also offer malware protection.  Enterprise wide deployment will be done through BigFix to include laptops and servers.","Intrusion Detection and Prevention",Approved,Desktop,2023-12-06
"FireEye Redline 2.0","This is a request for an upgrade to the latest version of FireEye Redline, which is used to review investigations from FireEye HX.","Security and Assurance",Approved,Desktop,2022-12-29
"FirePower OS 2.X is Cisco Next-Generation IPS","These devices enable ALL GSA teleworkers (aka VPN users) accessing GSA network resources from home.  An old set of VPN concentrators running ASA 9.X have recently been replaced by a new set of VPN concentrators running both ASA 9.X and FirePower OS 2.X. ASA 9.X is already approved in GEAR.  Thus, this software request is for FirePower OS 2.X (i.e. a security threat-focus service OS that complements the ASA function).","Intrusion Detection and Prevention",Approved,Server,2022-12-29
"FirePower X2 - Version for Rad Studio 11.0 Alexandria","SIP, a desktop application, installed on GSA Schedule Vendors' desktop, used for ingesting the catalog data from vendors to GSA Advantage.  This application was originally developed using Delphi software and continued with operations and maintenance.  There are active plans to migrate off of desktop based systems to web based systems as part of Catalog Management Modernization initiative.  Until the new system is available for use, we need to continue with our operations and maintenance of SIP using Delphi software.  This is a tool used for building application using Delphi.",-,Approved,Desktop,2024-03-04
Flagger,"FAS Cloud Services (FCS) team is implementing a PaaS solution called Multi-Tenant Container as a Service (MCaaS) and part of this solution requires to support advanced deployment strategies such as blue/green, canary and progressive rolling update.  Flagger is a progressive delivery tool that automates the release process for applications running on Kubernetes. We'll implement flagger as part of MCaaS offering.","Continuous Delivery (CD)",Approved,Server,2022-11-04
Flexapp,"Both VApps and VDI teams are ready to request the software and a free trial license to test Liquidware products in GSA.  The name of the software we'd like to test from this vendor is called ""FlexApp"".  This is a way to deploy software in the VDI and VApps environment.",Infrastructure,Pilot,Server,2021-12-28
"FlexiCapture Workstations v12.x","ABBYY FlexiCapture is a highly scalable platform for intelligent data and document capture which can be successfully used to extract data from unstructured as well as structured paper documents, scans, e-mail messages, and other sources for subsequent use in document management systems. The four basic data extraction operations in ABBYY FlexiCapture include classification, optical recognition, verification, and export to ERP, ECM or BPM systems. ABBYY FlexiCapture is capable of handling the full range of data processing needs, from small-scale projects to distributed industrial capture of large volumes of data, providing high levels of security and reliability expected from enterprise-grade software solutions.  ABBYY FlexiCapture Workstations v12.x will give users access to FlexiLayout Studio and Project Setup Station.",Other,Approved,Server,2024-03-18
"FlipCreator 5.x","FlipCreator is an online magazine software that allows you to create realistic page-flipping e-Publications including E-Books, E-Magazines, E-Brochures, E-Catalogs, E-Reports, E-Newsletters.","Electronic Publishing",Approved,Desktop,2022-01-11
"FLIR Thermal Studio v1.x","I take thermal images with a FLIR E4 camera. I shoot images of switchgears, steam traps, heating/cooling loops, etc. I currently have to download those images to a personal device for manipulation and then move them to my ENT machine for storage and reporting.
Install on local machine where it will be utilized.",-,Approved,Desktop,2023-08-04
Fluenz,"Fluenz is a language learning program.","Database Admin Tools",Denied,SaaS,-
"FME Server","In August 2020 TRIRIGA was selected for OA Tool/eSMART replacement based on advantages to the OA and Leasing communities. The Spatial Data Management business community (SDM) were shortly appraised of the weaknesses of the product for their technical needs, after award.  SDM requires a solution that will manipulate a completed drawing set and: 1) Check it for errors that would preclude it from entering into TRIRIGA 2) Communicate such errors to the CAD and BIM user in an actionable way and 3) Prepare such a drawing for use inside TRIRIGA with security enabled organizational features present.  A flexible and scalable solution for this essential capability was approved for usage from a vendor called Safe Software.  The tool has desktop and server components.","Application Servers",Approved,Server,2023-05-26
"FME Workbench","In August 2020 TRIRIGA was selected for OA Tool/eSMART replacement based on advantages to the OA and Leasing communities. The Spatial Data Management business community (SDM) were shortly appraised of the weaknesses of the product for their technical needs, after award.  SDM requires a solution that will manipulate a completed drawing set and: 1) Check it for errors that would preclude it from entering into TRIRIGA 2) Communicate such errors to the CAD and BIM user in an actionable way and 3) Prepare such a drawing for use inside TRIRIGA with security enabled organizational features present.  A flexible and scalable solution for this essential capability was approved for usage from a vendor called Safe Software.  The tool has desktop and server components. This ask is for the approval of the desktop system called FME Workbench Desktop.","Data Quality",Approved,Desktop,2023-05-26
"FontLab Studio 5.x","FontLab Studio 5 is a professional font editor for Mac and Windows. Used by Adobe, Apple, Bitstream, IBM, Linotype, Microsoft, Monotype, and Morisawa, it is a comprehensive solution for font foundries, professional type designers, typographers and graphic design studios, allowing them to design typefaces and create or modify fonts. FontLab Studio 5 supports all major outline font formats, including PostScript Type 1, TrueType, Multiple Master and OpenType.","Miscellaneous Software",Denied,Server,-
"ForeScout CounterAct Software 6","ForeScout CounterACT dynamically identifies and assesses network users, endpoints and applications; provides full network access control (NAC), pre- and post-admission; directly remediates endpoint security issues; triggers third-party remediation systems.","Intrusion Detection and Prevention",Denied,Server,-
"ForeScout CounterACT Thick Client 7.x","ForeScout CounterACT dynamically identifies and assesses network users, endpoints and applications; provides full network access control (NAC), pre- and post-admission; directly remediates endpoint security issues; triggers third-party remediation systems.","Intrusion Detection and Prevention",Sunsetting,Server,2018-10-01
