domain_name,domain_type,agency,city,state,city_state,country,the_geom
POTTERTWP-PA.GOV,City,Non-Federal Agency,Monaca,PA,"MONACA, PA",United States,0101000020E6100000F31FD26F5F1154C0156F641EF9574440
POWHATANVA.GOV,City,Non-Federal Agency,Powhatan,VA,"POWHATAN, VA",United States,0101000020E6100000B05582C5E14C57C0C85EEFFE78DF3F40
PRAIRIEDUCHIEN-WI.GOV,City,Non-Federal Agency,Prairie Du Chien,WI,"PRAIRIE DU CHIEN, WI",United States,0101000020E6100000C5387F130AC956C0516B9A779C864540
PRAIRIEVIEWTEXAS.GOV,City,Non-Federal Agency,Prairie View,TX,"PRAIRIE VIEW, TX",United States,0101000020E6100000CCD1E3F736FF57C0ABB2EF8AE0173E40
PRATTVILLE-AL.GOV,City,Non-Federal Agency,Prattville,AL,"PRATTVILLE, AL",United States,0101000020E6100000287E8CB96B9D55C04F58E201653B4040
PRATTVILLEAL.GOV,City,Non-Federal Agency,Prattville,AL,"PRATTVILLE, AL",United States,0101000020E6100000287E8CB96B9D55C04F58E201653B4040
PRESCOTT-AZ.GOV,City,Non-Federal Agency,Prescott,AZ,"PRESCOTT, AZ",United States,0101000020E6100000448B6CE7FB1D5CC0CC9717601F454140
PRESCOTTVALLEY-AZ.GOV,City,Non-Federal Agency,Prescott Valley,AZ,"PRESCOTT VALLEY, AZ",United States,0101000020E6100000894160E5D0145CC0BAF770C9714B4140
PRESQUEISLEMAINE.GOV,City,Non-Federal Agency,Presque Isle,ME,"PRESQUE ISLE, ME",United States,0101000020E61000002254A9D9030151C0D0D556EC2F574740
PRIESTRIVER-ID.GOV,City,Non-Federal Agency,Priest River,ID,"PRIEST RIVER, ID",United States,0101000020E6100000991249F4323A5DC01E8A027D22174840
PRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,"PRINCETON, NJ",United States,0101000020E6100000AE81AD122C1A54C0B6DB2E34D7893940
PRINCETONTX.GOV,City,Non-Federal Agency,Princeton,TX,"PRINCETON, TX",United States,0101000020E6100000AE81AD122C1A54C0B6DB2E34D7893940
PROCTORMN.GOV,City,Non-Federal Agency,Proctor,MN,"PROCTOR, MN",United States,0101000020E6100000AA0EB9196E0E57C08F705AF0A25F4740
PROSPERTX.GOV,City,Non-Federal Agency,Prosper,TX,"PROSPER, TX",United States,0101000020E6100000E89FE062453358C0C32ADEC83C9E4040
PROVIDENCERI.GOV,City,Non-Federal Agency,Providence,RI,"PROVIDENCE, RI",United States,0101000020E61000005CE674594CF45BC05F419AB168DA4440
PURCELLVILLEVA.GOV,City,Non-Federal Agency,Purcellville,VA,"PURCELLVILLE, VA",United States,0101000020E61000000473F4F8BD6D53C07689EAAD81914340
QUAKERTOWN-PA.GOV,City,Non-Federal Agency,Quakertown,PA,"QUAKERTOWN, PA",United States,0101000020E6100000DDD26A48DCD552C04D2D5BEB8B384440
QUINCYIL.GOV,City,Non-Federal Agency,Quincy,IL,"QUINCY, IL",United States,0101000020E6100000C3F0113125C051C0FFE7305F5E204540
QUINCYMA.GOV,City,Non-Federal Agency,Quincy,MA,"QUINCY, MA",United States,0101000020E6100000C3F0113125C051C0FFE7305F5E204540
RALEIGHNC.GOV,City,Non-Federal Agency,Raleigh,NC,"RALEIGH, NC",United States,0101000020E610000082397AFCDEA853C0ED9E3C2CD4E24140
RANCHOMIRAGECA.GOV,City,Non-Federal Agency,Rancho Mirage,CA,"RANCHO MIRAGE, CA",United States,0101000020E61000006A87BF266B1A5DC082C5E1CCAFDE4040
RANDOLPH-MA.GOV,City,Non-Federal Agency,Randolph,MA,"RANDOLPH, MA",United States,0101000020E6100000D1798D5DA2C251C0302AA913D0144540
RANDOLPHTOWNSHIPOHIO.GOV,City,Non-Federal Agency,Randolph,OH,"RANDOLPH, OH",United States,0101000020E6100000D1798D5DA2C251C0302AA913D0144540
RANGELY-CO.GOV,City,Non-Federal Agency,Rangely,CO,"RANGELY, CO",United States,0101000020E6100000BD35B05582335BC0EC866D8B320B4440
RATONNM.GOV,City,Non-Federal Agency,Raton,NM,"RATON, NM",United States,0101000020E610000075029A081B1C5AC0DD41EC4CA1734240
RAYCITYGA.GOV,City,Non-Federal Agency,Ray City,GA,"RAY CITY, GA",United States,0101000020E6100000145CACA8C1CC54C033F9669B1B133F40
RAYMONDNH.GOV,City,Non-Federal Agency,Raymond,NH,"RAYMOND, NH",United States,0101000020E6100000F91400E3199E51C07A53910A63F34540
READINGMA.GOV,City,Non-Federal Agency,Reading,MA,"READING, MA",United States,0101000020E61000002F698CD651FB52C082734694F62A4440
READINGPA.GOV,City,Non-Federal Agency,Reading,PA,"READING, PA",United States,0101000020E61000002F698CD651FB52C082734694F62A4440
READYHOUSTONTX.GOV,City,Non-Federal Agency,Houston,TX,"HOUSTON, TX",United States,0101000020E6100000A7CB6262F33F56C0AC8BDB6800F34040
READYSOUTHTEXAS.GOV,City,Non-Federal Agency,San Antonio,TX,"SAN ANTONIO, TX",United States,0101000020E6100000C49448A2979F58C05B94D920936C3D40
READYSPRINGFIELDIL.GOV,City,Non-Federal Agency,Springfield,IL,"SPRINGFIELD, IL",United States,0101000020E6100000FB96395D165357C081ECF5EE8F9B4240
REDBANKTN.GOV,City,Non-Federal Agency,Red Bank,TN,"RED BANK, TN",United States,0101000020E610000092B3B0A71D8452C0D50968226C2C4440
REDBAY-AL.GOV,City,Non-Federal Agency,Red Bay,AL,"RED BAY, AL",United States,0101000020E610000034BF9A03040956C0381092054C384140
REDMOND.GOV,City,Non-Federal Agency,Redmond,WA,"REDMOND, WA",United States,0101000020E6100000C408E1D1C6875EC060EAE74D45D64740
REMINGTON-VA.GOV,City,Non-Federal Agency,Remington,VA,"REMINGTON, VA",United States,0101000020E61000008126C286A7C955C0F6402B3064614440
RENSSELAERNY.GOV,City,Non-Federal Agency,Rensselaer,NY,"RENSSELAER, NY",United States,0101000020E6100000B30C71AC8B6F52C02788BA0F40524540
RHEACOUNTYTN.GOV,City,Non-Federal Agency,Dayton,TN,"DAYTON, TN",United States,0101000020E61000008AE59656430C55C04CA60A4625E14340
RHINEBECK-NY.GOV,City,Non-Federal Agency,Rhinebeck,NY,"RHINEBECK, NY",United States,0101000020E61000005F419AB1687A52C0D89E5912A0F64440
RICETX.GOV,City,Non-Federal Agency,Rice,TX,"RICE, TX",United States,0101000020E61000008E9257E7188E57C087C43D963EE04640
RICHFIELDWI.GOV,City,Non-Federal Agency,Hubertus,WI,"HUBERTUS, WI",United States,0101000020E610000003780B24280E56C0DFF8DA334B9E4540
RICHLANDS-VA.GOV,City,Non-Federal Agency,Richlands,VA,"RICHLANDS, VA",United States,0101000020E6100000A9F6E978CC7254C0F27B9BFEEC8B4240
RICHLANDSNC.GOV,City,Non-Federal Agency,Richlands,NC,"RICHLANDS, NC",United States,0101000020E6100000A9F6E978CC7254C0F27B9BFEEC8B4240
RICHMOND-VA.GOV,City,Non-Federal Agency,Richmond,VA,"RICHMOND, VA",United States,0101000020E61000000CEA5BE6745D53C09EEA909BE1C64240
RICHMONDHILL-GA.GOV,City,Non-Federal Agency,Richmond Hill,GA,"RICHMOND HILL, GA",United States,0101000020E610000016139B8F6B5354C063D1747632F03F40
RICHMONDINDIANA.GOV,City,Non-Federal Agency,Richmond,IN,"RICHMOND, IN",United States,0101000020E61000000CEA5BE6745D53C09EEA909BE1C64240
RICHMONDTX.GOV,City,Non-Federal Agency,Richmond,TX,"RICHMOND, TX",United States,0101000020E61000000CEA5BE6745D53C09EEA909BE1C64240
RICHMONDVA.GOV,City,Non-Federal Agency,Richmond,VA,"RICHMOND, VA",United States,0101000020E61000000CEA5BE6745D53C09EEA909BE1C64240
RICHMONDVT.GOV,City,Non-Federal Agency,Richmond,VT,"RICHMOND, VT",United States,0101000020E61000000CEA5BE6745D53C09EEA909BE1C64240
RICHWOODTX.GOV,City,Non-Federal Agency,Richwood,TX,"RICHWOOD, TX",United States,0101000020E6100000A054FB743CDA57C0AEF545425B0E3D40
RICHWOODWV.GOV,City,Non-Federal Agency,Richwood,WV,"RICHWOOD, WV",United States,0101000020E6100000A054FB743CDA57C0AEF545425B0E3D40
RIDGECREST-CA.GOV,City,Non-Federal Agency,Ridgecrest,CA,"RIDGECREST, CA",United States,0101000020E6100000BBB88D06F06A5DC0B988EFC4ACCF4140
RIDGEFIELDNJ.GOV,City,Non-Federal Agency,Ridgefield,NJ,"RIDGEFIELD, NJ",United States,0101000020E6100000C3F5285C8F8052C05704FF5BC96A4440
RIDGELANDSC.GOV,City,Non-Federal Agency,Ridgeland,SC,"RIDGELAND, SC",United States,0101000020E6100000C3BB5CC4778856C0BB7EC16ED8364040
RITZVILLE-WA.GOV,City,Non-Federal Agency,Ritzville,WA,"RITZVILLE, WA",United States,0101000020E61000009548A29751985DC0EA3E00A94D904740
RIVERDALEGA.GOV,City,Non-Federal Agency,Riverdale,GA,"RIVERDALE, GA",United States,0101000020E6100000AD2F12DA721A55C068AED3484BC94040
RIVERDALENJ.GOV,City,Non-Federal Agency,Riverdale,NJ,"RIVERDALE, NJ",United States,0101000020E6100000AD2F12DA721A55C068AED3484BC94040
RIVERDALEPARKMD.GOV,City,Non-Federal Agency,Riverdale,MD,"RIVERDALE, MD",United States,0101000020E6100000AD2F12DA721A55C068AED3484BC94040
RIVERSIDE-GA.GOV,City,Non-Federal Agency,Moultrie,GA,"MOULTRIE, GA",United States,0101000020E61000003CA583F57FF254C02E39EE940E2E3F40
RIVERSIDECA.GOV,City,Non-Federal Agency,Riverside,CA,"RIVERSIDE, CA",United States,0101000020E6100000EFFE78AF5A595DC020D26F5F07FA4040
ROAMINGSHORESOH.GOV,City,Non-Federal Agency,Roaming Shores,OH,"ROAMING SHORES, OH",United States,0101000020E6100000D4B7CCE9B23454C083DDB06D51D24440
ROANOKEVA.GOV,City,Non-Federal Agency,Roanoke,VA,"ROANOKE, VA",United States,0101000020E61000004A5E9D6340FC53C03B191C25AFA24240
ROCKFORD-IL.GOV,City,Non-Federal Agency,Rockford,IL,"ROCKFORD, IL",United States,0101000020E6100000BC749318044656C0747B4963B4224540
ROCKFORDIL.GOV,City,Non-Federal Agency,Rockford,IL,"ROCKFORD, IL",United States,0101000020E6100000BC749318044656C0747B4963B4224540
ROCKHALLMD.GOV,City,Non-Federal Agency,Rock Hall,MD,"ROCK HALL, MD",United States,0101000020E61000007E8CB96B090F53C0E8A4F78DAF914340
ROCKLAND-MA.GOV,City,Non-Federal Agency,Rockland,MA,"ROCKLAND, MA",United States,0101000020E6100000D1798D5DA2BA51C09B728577B9104540
ROCKMART-GA.GOV,City,Non-Federal Agency,Rockmart,GA,"ROCKMART, GA",United States,0101000020E6100000F14BFDBCA94255C01C7C613255004140
ROCKPORTMA.GOV,City,Non-Federal Agency,Rockport,MA,"ROCKPORT, MA",United States,0101000020E6100000F67AF7C77B4358C05A47551344053C40
ROCKPORTMAINE.GOV,City,Non-Federal Agency,Rockport,ME,"ROCKPORT, ME",United States,0101000020E6100000F67AF7C77B4358C05A47551344053C40
ROCKVILLE-IN.GOV,City,Non-Federal Agency,Rockville,IN,"ROCKVILLE, IN",United States,0101000020E6100000C408E1D1C64953C0986E1283C08A4340
ROCKVILLEMD.GOV,City,Non-Federal Agency,Rockville,MD,"ROCKVILLE, MD",United States,0101000020E6100000C408E1D1C64953C0986E1283C08A4340
ROCKWELLNC.GOV,City,Non-Federal Agency,Rockwell,NC,"ROCKWELL, NC",United States,0101000020E61000000AA2EE03904857C0A56B26DF6C3B4140
ROCKYHILL-NJ.GOV,City,Non-Federal Agency,Rocky Hill,NJ,"ROCKY HILL, NJ",United States,0101000020E6100000B8CCE9B298A852C0D7FA22A12D334440
ROCKYHILLCT.GOV,City,Non-Federal Agency,Rocky Hill,CT,"ROCKY HILL, CT",United States,0101000020E6100000B8CCE9B298A852C0D7FA22A12D334440
ROCKYMOUNTNC.GOV,City,Non-Federal Agency,Rocky Mount,NC,"ROCKY MOUNT, NC",United States,0101000020E61000007120240B987253C0DC63E94317F84140
ROCKYMOUNTVA.GOV,City,Non-Federal Agency,Rocky Mount,VA,"ROCKY MOUNT, VA",United States,0101000020E61000007120240B987253C0DC63E94317F84140
ROGERSAR.GOV,City,Non-Federal Agency,Rogers,AR,"ROGERS, AR",United States,0101000020E610000024D1CB28968757C018CFA0A17F2A4240
ROLESVILLENC.GOV,City,Non-Federal Agency,Rolesville,NC,"ROLESVILLE, NC",United States,0101000020E6100000E17A14AE479D53C08AABCABE2BF64140
ROLLINGHILLSESTATES-CA.GOV,City,Non-Federal Agency,Rolling Hills Estates,CA,"ROLLING HILLS ESTATES, CA",United States,0101000020E6100000DB6D179AEB965DC0D40E7F4DD6E44040
ROLLINGHILLSESTATESCA.GOV,City,Non-Federal Agency,Rolling Hills Estates,CA,"ROLLING HILLS ESTATES, CA",United States,0101000020E6100000DB6D179AEB965DC0D40E7F4DD6E44040
ROME-NY.GOV,City,Non-Federal Agency,Rome,NY,"ROME, NY",United States,0101000020E610000078280AF4894A55C0C6E1CCAFE6204140
ROMULUS-MI.GOV,City,Non-Federal Agency,Romulus,MI,"ROMULUS, MI",United States,0101000020E6100000FE65F7E461D954C0BF9A0304731C4540
ROSEVILLE-MI.GOV,City,Non-Federal Agency,Roseville,MI,"ROSEVILLE, MI",United States,0101000020E6100000F1BA7EC16E525EC07155D97745604340
ROSLYNNY.GOV,City,Non-Federal Agency,Roslyn,NY,"ROSLYN, NY",United States,0101000020E610000044C02154A96952C0E657738060664440
ROSWELL-NM.GOV,City,Non-Federal Agency,Roswell,NM,"ROSWELL, NM",United States,0101000020E6100000E223624A241755C0A54929E8F6024140
ROUNDROCKTEXAS.GOV,City,Non-Federal Agency,Round Rock,TX,"ROUND ROCK, TX",United States,0101000020E61000004850FC18736B58C06EDDCD531D823E40
ROWE-MA.GOV,City,Non-Federal Agency,Rowe,MA,"ROWE, MA",United States,0101000020E610000037548CF3376B5AC0DE8E705AF0BE4140
ROWLETTTX.GOV,City,Non-Federal Agency,Rowlett,TX,"ROWLETT, TX",United States,0101000020E610000095B7239C162458C07AC7293A92734040
ROXBURY-CT.GOV,City,Non-Federal Agency,Roxbury,CT,"ROXBURY, CT",United States,0101000020E6100000925CFE43FAA551C0E8C1DD59BB554640
ROYALSTON-MA.GOV,City,Non-Federal Agency,Royalston,MA,"ROYALSTON, MA",United States,0101000020E6100000800EF3E5050C52C05F0CE544BB564540
RPVCA.GOV,City,Non-Federal Agency,Rancho Palos Verdes,CA,"RANCHO PALOS VERDES, CA",United States,0101000020E610000078B988EFC4985DC00F971C774ADF4040
RUIDOSO-NM.GOV,City,Non-Federal Agency,Ruidoso,NM,"RUIDOSO, NM",United States,0101000020E610000097395D16136B5AC05839B4C876AA4040
RUMSONNJ.GOV,City,Non-Federal Agency,Rumson,NJ,"RUMSON, NJ",United States,0101000020E6100000446E861BF07F52C0083D9B559F2F4440
RUSSELLSPOINT-OH.GOV,City,Non-Federal Agency,Russells Point,OH,"RUSSELLS POINT, OH",United States,0101000020E61000000C1F115322F954C078978BF84E3C4440
RYENY.GOV,City,Non-Federal Agency,Rye,NY,"RYE, NY",United States,0101000020E6100000E4BD6A65C26B52C044696FF0857D4440
SACKETSHARBOR-NY.GOV,City,Non-Federal Agency,Sackets Harbor,NY,"SACKETS HARBOR, NY",United States,0101000020E6100000F6D1A92B9F0753C0693A3B191CF94540
SADDLEBROOKNJ.GOV,City,Non-Federal Agency,Saddlebrook,NJ,"SADDLEBROOK, NJ",United States,0101000020E61000009604A8A9650955C016DEE522BEFF4240
SADDLEROCKNY.GOV,City,Non-Federal Agency,Saddle Rock,NY,"SADDLE ROCK, NY",United States,0101000020E61000006002B7EEE66F52C0D218ADA3AA654440
SAFFORDAZ.GOV,City,Non-Federal Agency,Safford,AZ,"SAFFORD, AZ",United States,0101000020E61000006FD39FFD486D5BC0E63FA4DFBE6A4040
SAGHARBORNY.GOV,City,Non-Federal Agency,Sag Harbor,NY,"SAG HARBOR, NY",United States,0101000020E6100000ADDD76A1B91252C08FAA2688BA7F4440
SAHUARITAAZ.GOV,City,Non-Federal Agency,Sahuarita,AZ,"SAHUARITA, AZ",United States,0101000020E6100000091B9E5E29BD5BC0BE4D7FF623F53F40
SAINTPETERMN.GOV,City,Non-Federal Agency,Saint Peter,MN,"SAINT PETER, MN",United States,0101000020E61000006CCF2C09507D57C0E1D1C6116B294640
SALADOTX.GOV,City,Non-Federal Agency,Salado,TX,"SALADO, TX",United States,0101000020E61000002D3E05C0786258C07C0F971C77F23E40
SALEMCT.GOV,City,Non-Federal Agency,Salem,CT,"SALEM, CT",United States,0101000020E6100000BC0512143FC25EC0FFB27BF2B0784640
SALEMVA.GOV,City,Non-Federal Agency,Salem,VA,"SALEM, VA",United States,0101000020E6100000BC0512143FC25EC0FFB27BF2B0784640
SALISBURYMA.GOV,City,Non-Federal Agency,Salisbury,MA,"SALISBURY, MA",United States,0101000020E61000000E32C9C8591E54C06E4C4F58E2D54140
SALISBURYNC.GOV,City,Non-Federal Agency,Salisbury,NC,"SALISBURY, NC",United States,0101000020E61000000E32C9C8591E54C06E4C4F58E2D54140
SALTLAKECITY-UT.GOV,City,Non-Federal Agency,Salt Lake City,UT,"SALT LAKE CITY, UT",United States,0101000020E6100000744694F606F95BC0B6B9313D61614440
SAMMAMISHWA.GOV,City,Non-Federal Agency,Sammamish,WA,"SAMMAMISH, WA",United States,0101000020E61000004CA60A4625855EC0E7C6F48425D24740
SANANTONIO.GOV,City,Non-Federal Agency,San Antonio,TX,"SAN ANTONIO, TX",United States,0101000020E6100000C49448A2979F58C05B94D920936C3D40
SANDYSPRINGS-GA.GOV,City,Non-Federal Agency,Sandy Springs,GA,"SANDY SPRINGS, GA",United States,0101000020E6100000950ED6FF391855C04356B77A4EF64040
SANDYSPRINGSGA.GOV,City,Non-Federal Agency,Sandy Springs,GA,"SANDY SPRINGS, GA",United States,0101000020E6100000950ED6FF391855C04356B77A4EF64040
SANFORDFL.GOV,City,Non-Federal Agency,Sanford,FL,"SANFORD, FL",United States,0101000020E61000008CF84ECC7A5154C014D044D8F0CC3C40
SANFRANCISCO-CA.GOV,City,Non-Federal Agency,San Francisco,CA,"SAN FRANCISCO, CA",United States,0101000020E610000074D2FBC6D79A5EC03A58FFE730E34240
SANJOSECA.GOV,City,Non-Federal Agency,San Jose,CA,"SAN JOSE, CA",United States,0101000020E61000009ACE4E0647795EC0734BAB2171AB4240
SANMARCOSTEXAS.GOV,City,Non-Federal Agency,San Marcos,TX,"SAN MARCOS, TX",United States,0101000020E6100000ADA3AA09A24A5DC01F9DBAF259924040
SANMARCOSTX.GOV,City,Non-Federal Agency,San Marcos,TX,"SAN MARCOS, TX",United States,0101000020E6100000ADA3AA09A24A5DC01F9DBAF259924040
SANMARINOCA.GOV,City,Non-Federal Agency,San Marino,CA,"SAN MARINO, CA",United States,0101000020E610000042959A3DD0865DC001DE02098A0F4140
SANPABLOCA.GOV,City,Non-Federal Agency,San Pablo,CA,"SAN PABLO, CA",United States,0101000020E61000005C72DC291D965EC057EC2FBB27FB4240
SANTACLARACA.GOV,City,Non-Federal Agency,Santa Clara,CA,"SANTA CLARA, CA",United States,0101000020E610000030F5F3A6227D5EC0E197FA7953AD4240
SANTAFENM.GOV,City,Non-Federal Agency,Santa Fe,NM,"SANTA FE, NM",United States,0101000020E6100000158C4AEA047C5AC0C780ECF5EED74140
SANTAMONICACA.GOV,City,Non-Federal Agency,Santa Monica,CA,"SANTA MONICA, CA",United States,0101000020E6100000D3872EA86F9F5DC01FF46C567D024140
SARANACLAKENY.GOV,City,Non-Federal Agency,Saranac Lake,NY,"SARANAC LAKE, NY",United States,0101000020E61000008A3C49BA668852C01904560E2D2A4640
SARDISCITYAL.GOV,City,Non-Federal Agency,Sardis City,AL,"SARDIS CITY, AL",United States,0101000020E610000060E5D022DB8755C01F80D4264E164140
SAUGUS-MA.GOV,City,Non-Federal Agency,Saugus,MA,"SAUGUS, MA",United States,0101000020E6100000CA54C1A8A4C051C06C43C5387F3B4540
SAVANNA-IL.GOV,City,Non-Federal Agency,Savanna,IL,"SAVANNA, IL",United States,0101000020E6100000C095ECD8088A56C0003ACC97170C4540
SAVANNAHGA.GOV,City,Non-Federal Agency,Savannah,GA,"SAVANNAH, GA",United States,0101000020E6100000384A5E9D634654C034F44F70B10A4040
SBMTD.GOV,City,Non-Federal Agency,Santa Barbara,CA,"SANTA BARBARA, CA",United States,0101000020E61000003B191C25AFEC5DC07D96E7C1DD354140
SCHENECTADYNY.GOV,City,Non-Federal Agency,Schenectady,NY,"SCHENECTADY, NY",United States,0101000020E6100000609335EA217C52C02A8C2D0439684540
SCHERTZ-TX.GOV,City,Non-Federal Agency,Schertz,TX,"SCHERTZ, TX",United States,0101000020E610000001309E41439158C013D55B035B8D3D40
SCIENCEHILL-KY.GOV,City,Non-Federal Agency,Science Hill,KY,"SCIENCE HILL, KY",United States,0101000020E6100000DBDC989EB02855C0745E6397A8964240
SCITUATEMA.GOV,City,Non-Federal Agency,Scituate,MA,"SCITUATE, MA",United States,0101000020E610000071C971A774AE51C01327F73B14194540
SCOTCHPLAINSNJ.GOV,City,Non-Federal Agency,Scotch Plains,NJ,"SCOTCH PLAINS, NJ",United States,0101000020E610000042EC4CA1F39852C0EB39E97DE3534440
SCRANTONPA.GOV,City,Non-Federal Agency,Scranton,PA,"SCRANTON, PA",United States,0101000020E6100000C6A2E9EC64EA52C0C685032159B44440
SEABROOKTX.GOV,City,Non-Federal Agency,Seabrook,TX,"SEABROOK, TX",United States,0101000020E610000079060DFD133653C00E10CCD1E37B4340
SEACLIFF-NY.GOV,City,Non-Federal Agency,Sea Cliff,NY,"SEA CLIFF, NY",United States,0101000020E6100000D734EF38456952C0C6504EB4AB6C4440
SEALBEACHCA.GOV,City,Non-Federal Agency,Seal Beach,CA,"SEAL BEACH, CA",United States,0101000020E6100000A9BC1DE1B4865DC0B476DB85E6DE4040
SEARANCHLAKESFLORIDA.GOV,City,Non-Federal Agency,Sea Ranch Lakes,FL,"SEA RANCH LAKES, FL",United States,0101000020E61000004087F9F2020654C0DDD26A48DC333A40
SEATPLEASANTMD.GOV,City,Non-Federal Agency,Seat Pleasant,MD,"SEAT PLEASANT, MD",United States,0101000020E6100000B54FC763063A53C0B4024356B7724340
SEBEWAINGMI.GOV,City,Non-Federal Agency,Sebewaing,MI,"SEBEWAING, MI",United States,0101000020E61000003B8DB454DEDC54C05969520ABADD4540
SEDONAAZ.GOV,City,Non-Federal Agency,Sedona,AZ,"SEDONA, AZ",United States,0101000020E610000051A5660FB4F05BC0F302ECA3536F4140
SEEKONK-MA.GOV,City,Non-Federal Agency,Seekonk,MA,"SEEKONK, MA",United States,0101000020E610000021B0726891D551C07A8D5DA27AE74440
SEGUINTEXAS.GOV,City,Non-Federal Agency,Seguin,TX,"SEGUIN, TX",United States,0101000020E610000016DEE522BE7D58C01AA88C7F9F913D40
SELAHWA.GOV,City,Non-Federal Agency,Selah,WA,"SELAH, WA",United States,0101000020E6100000CEA5B8AAEC215EC0087767EDB6534740
SELLERSBURG-IN.GOV,City,Non-Federal Agency,Sellersburg,IN,"SELLERSBURG, IN",United States,0101000020E61000007172BF43517055C017F19D98F5324340
SELMA-AL.GOV,City,Non-Federal Agency,Selma,AL,"SELMA, AL",United States,0101000020E610000049A297512CE75DC0FE9AAC510F494240
SENECASC.GOV,City,Non-Federal Agency,Seneca,SC,"SENECA, SC",United States,0101000020E610000005A3923A01BD54C07216F6B4C3574140
SEQUIMWA.GOV,City,Non-Federal Agency,Sequim,WA,"SEQUIM, WA",United States,0101000020E61000002D5BEB8B84C65EC0A75CE15D2E0A4840
SHAKOPEEMN.GOV,City,Non-Federal Agency,Shakopee,MN,"SHAKOPEE, MN",United States,0101000020E6100000CB10C7BAB86157C0E7C6F48425664640
SHEBOYGANFALLS-WI.GOV,City,Non-Federal Agency,Sheboygan Falls,WI,"SHEBOYGAN FALLS, WI",United States,0101000020E6100000DFC325C79DF455C099D36531B1DD4540
SHEBOYGANWI.GOV,City,Non-Federal Agency,Sheboygan,WI,"SHEBOYGAN, WI",United States,0101000020E6100000B28009DCBAED55C0876D8B321BE04540
SHEFFIELDMA.GOV,City,Non-Federal Agency,Sheffield,MA,"SHEFFIELD, MA",United States,0101000020E61000005BEB8B84B6EC55C0923F1878EE614140
SHELTERCOVE-CA.GOV,City,Non-Federal Agency,Whitethorn,CA,"WHITETHORN, CA",United States,0101000020E6100000BF60376C5BFC5EC0FB7953910A034440
SHERWOODOREGON.GOV,City,Non-Federal Agency,Sherwood,OR,"SHERWOOD, OR",United States,0101000020E6100000AEF545425B0E57C0F8A57EDE54684140
SHIRLEY-MA.GOV,City,Non-Federal Agency,Shirley,MA,"SHIRLEY, MA",United States,0101000020E61000009D8026C2863752C018096D3997664440
SHIVELYKY.GOV,City,Non-Federal Agency,Shively,KY,"SHIVELY, KY",United States,0101000020E61000001B47ACC5A77455C09274CDE49B194340
SHORELINE-WA.GOV,City,Non-Federal Agency,Shoreline,WA,"SHORELINE, WA",United States,0101000020E610000084BBB376DB955EC0789CA223B9E04740
SHORELINEWA.GOV,City,Non-Federal Agency,Shoreline,WA,"SHORELINE, WA",United States,0101000020E610000084BBB376DB955EC0789CA223B9E04740
SHOREVIEWMN.GOV,City,Non-Federal Agency,Shoreview,MN,"SHOREVIEW, MN",United States,0101000020E6100000F33CB83B6B4957C0F5108DEE208A4640
SHREVEPORTLA.GOV,City,Non-Federal Agency,Shreveport,LA,"SHREVEPORT, LA",United States,0101000020E61000004087F9F2027057C048BF7D1D38434040
SHREWSBURYMA.GOV,City,Non-Federal Agency,Shrewsbury,MA,"SHREWSBURY, MA",United States,0101000020E6100000083D9B559FED51C0E0F3C308E1254540
SIERRAVISTAAZ.GOV,City,Non-Federal Agency,Sierra Vista,AZ,"SIERRA VISTA, AZ",United States,0101000020E6100000D3872EA86F935BC0E7525C55F68D3F40
SIGNALMOUNTAINTN.GOV,City,Non-Federal Agency,Signal Mountain,TN,"SIGNAL MOUNTAIN, TN",United States,0101000020E6100000B22E6EA3015655C041BCAE5FB08F4140
SILVERCITYNM.GOV,City,Non-Federal Agency,Silver City,NM,"SILVER CITY, NM",United States,0101000020E61000009D853DEDF0115BC0DFA63FFB91624040
SILVERSPRINGTWP-PA.GOV,City,Non-Federal Agency,Mechanicsburg,PA,"MECHANICSBURG, PA",United States,0101000020E6100000A64412BD8C4053C0A56B26DF6C1B4440
SIOUXFALLSSD.GOV,City,Non-Federal Agency,Sioux Falls,SD,"SIOUX FALLS, SD",United States,0101000020E6100000179AEB34D22C58C0FCE3BD6A65C64540
SISTERBAYWI.GOV,City,Non-Federal Agency,Sister Bay,WI,"SISTER BAY, WI",United States,0101000020E6100000CF31207BBDC755C0F9BD4D7FF6974640
SLEEPYHOLLOWNY.GOV,City,Non-Federal Agency,Sleepy Hollow,NY,"SLEEPY HOLLOW, NY",United States,0101000020E610000037A6272CF17652C082734694F68A4440
SMITHFIELDRI.GOV,City,Non-Federal Agency,Smithfield,RI,"SMITHFIELD, RI",United States,0101000020E6100000CCB4FD2B2BE351C04BCD1E6805F64440
SMITHFIELDVA.GOV,City,Non-Federal Agency,Smithfield,VA,"SMITHFIELD, VA",United States,0101000020E6100000CCB4FD2B2BE351C04BCD1E6805F64440
SMYRNAGA.GOV,City,Non-Federal Agency,Smyrna,GA,"SMYRNA, GA",United States,0101000020E6100000DB6D179AEB2055C0DAFE959526F14040
SNOHOMISHWA.GOV,City,Non-Federal Agency,Snohomish,WA,"SNOHOMISH, WA",United States,0101000020E6100000C347C49448865EC014967840D9F44740
SNOWFLAKE-AZ.GOV,City,Non-Federal Agency,Snowflake,AZ,"SNOWFLAKE, AZ",United States,0101000020E6100000C217265305855BC0AF5FB01BB6414140
