Domain Name,Domain Type,Agency,Organization,City,Security Contact Email
AHRQ.GOV,Federal Agency - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,SecureAHRQ@ahrq.hhs.gov
AIDS.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
ALZHEIMERS.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",Bethesda,NIAISSO@nih.gov
AOA.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
BAM.GOV,Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,Atlanta,ResponsibleDisclosure@hhs.gov
BETOBACCOFREE.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
BIOETHICS.GOV,Federal Agency - Executive,Department of Health and Human Services,"President’s Council on Bioethics, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
BRAINHEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",Bethesda,hostmaster@nih.gov
CANCER.GOV,Federal Agency - Executive,Department of Health and Human Services,National Cancer Institute,Rockville,ResponsibleDisclosure@hhs.gov
CDC.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers For Disease Control and Prevention,Atlanta,ResponsibleDisclosure@hhs.gov
CDCPARTNERS.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,responsibledisclosure@hhs.gov
CEREBROSANO.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",Bethesda,responsibledisclosure@hhs.gov
CHILDCARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,responsibledisclosure@hhs.gov
CHILDWELFARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,responsibledisclosure@hhs.gov
CLINICALTRIAL.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
CLINICALTRIALS.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
CMS.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
COLLEGEDRINKINGPREVENTION.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",Bethesda,responsibledisclosure@hhs.gov
CUIDADODESALUD.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
DHHS.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
DIABETESCOMMITTEE.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institutes of Diabetes and Digestive and Kidney Diseases, NIH",Bethesda,responsibledisclosure@hhs.gov
DOCLINE.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
DONACIONDEORGANOS.GOV,Federal Agency - Executive,Department of Health and Human Services,Health Resources and Services Administration,Rockville,responsibledisclosure@hhs.gov
DRUGABUSE.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institute on Drug Abuse, NIH",Baltimore,responsibledisclosure@hhs.gov
EDISON.GOV,Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,(blank)
ELDERCARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
ENDINGTHEDOCUMENTGAME.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
EVERYTRYCOUNTS.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
FATHERHOOD.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,responsibledisclosure@hhs.gov
FDA.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
FINDTREATMENT.GOV,Federal Agency - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,responsibledisclosure@hhs.gov
FITNESS.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
FLU.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,responsibledisclosure@hhs.gov
FOODSAFETY.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
FRESHEMPIRE.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
FRUITSANDVEGGIESMATTER.GOV,Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,Washington,ResponsibleDisclosure@hhs.gov
GENOME.GOV,Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,responsibledisclosure@hhs.gov
GIRLSHEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",Washington,responsibledisclosure@hhs.gov
GLOBALHEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",Rockville,responsibledisclosure@hhs.gov
GRANTS.GOV,Federal Agency - Executive,Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
GRANTSOLUTIONS.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,domainabuse@grantsolutions.gov
GUIDELINE.GOV,Federal Agency - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,SecureAHRQ@ahrq.hhs.gov
GUIDELINES.GOV,Federal Agency - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,SecureAHRQ@ahrq.hhs.gov
HC.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
HEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
HEALTHCARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
HEALTHDATA.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
HEALTHFINDER.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
HEALTHINDICATORS.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,ResponsibleDisclosure@hhs.gov
HEALTHIT.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
HEALTHYPEOPLE.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
HEARTTRUTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Heart, Lung & Blood Institute, NIH",Bethesda,responsibledisclosure@hhs.gov
HHS.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
HHSOIG.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Inspector General,Washington,responsibledisclosure@hhs.gov
HHSOPS.GOV,Federal Agency - Executive,Department of Health and Human Services,"Program Support Center, Office of the Secretary",Rockville,responsibledisclosure@hhs.gov
HIV.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",Washington,responsibledisclosure@hhs.gov
HRSA.GOV,Federal Agency - Executive,Department of Health and Human Services,Health Resources and Services Administration,Rockville,hrsasoc@hrsa.gov
IDEALAB.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
IEDISON.GOV,Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,(blank)
IHS.GOV,Federal Agency - Executive,Department of Health and Human Services,Indian Health Service / Office of IT,Albuquerque,responsibledisclosure@hhs.gov
INSUREKIDSNOW.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
LOCATORPLUS.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
LONGTERMCARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
MEDICAID.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
MEDICALCOUNTERMEASURES.GOV,Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,Washington,responsibledisclosure@hhs.gov
MEDICARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
MEDLINEPLUS.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
MENTALHEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,SAMHSA Office of Communications,Rockville,ResponsibleDisclosure@hhs.gov
MESH.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
MYMEDICARE.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,responsibledisclosure@hhs.gov
NCIFCRF.GOV,Federal Agency - Executive,Department of Health and Human Services,"Enterprise Information Technology, NIH",Frederick,ResponsibleDisclosure@hhs.gov
NIH.GOV,Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,CITNSSPM@mail.nih.gov
NIOSH.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,ResponsibleDisclosure@hhs.gov
NLM.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
NNLM.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
OPIOIDS.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
ORGANDONOR.GOV,Federal Agency - Executive,Department of Health and Human Services,Health Resources and Services Administration,Rockville,responsibledisclosure@hhs.gov
PANDEMICFLU.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,responsibledisclosure@hhs.gov
PHE.GOV,Federal Agency - Executive,Department of Health and Human Services,Assistant Secretary for Preparedness and Response,Washington,responsibledisclosure@hhs.gov
PSC.GOV,Federal Agency - Executive,Department of Health and Human Services,"Program Support Center, Office of the Secretary",Rockville,responsibledisclosure@hhs.gov
PUBMED.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,responsibledisclosure@hhs.gov
RECOVERYMONTH.GOV,Federal Agency - Executive,Department of Health and Human Services,SAMHSA,Rockville,responsibledisclosure@hhs.gov
SAMHSA.GOV,Federal Agency - Executive,Department of Health and Human Services,SAMHSA,Rockville,responsibledisclosure@hhs.gov
SELECTAGENTS.GOV,Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,Washington,ResponsibleDisclosure@hhs.gov
SMOKEFREE.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",Rockville,responsibledisclosure@hhs.gov
STOPALCOHOLABUSE.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,responsibledisclosure@hhs.gov
STOPBULLYING.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
SURGEONGENERAL.GOV,Federal Agency - Executive,Department of Health and Human Services,HHS,Washington,responsibledisclosure@hhs.gov
THECOOLSPOT.GOV,Federal Agency - Executive,Department of Health and Human Services,HHS,Rockville,responsibledisclosure@hhs.gov
THEREALCOST.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
THISFREELIFE.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
TOBACCO.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,FDASystemsManagementCenter@fda.gov
TOX21.GOV,Federal Agency - Executive,Department of Health and Human Services,National Center for Advancing Translational Sciences,Rockville,ResponsibleDisclosure@hhs.gov
USBM.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,ResponsibleDisclosure@hhs.gov
USPHS.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
VACCINES.GOV,Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,Washington,responsibledisclosure@hhs.gov
WHAGING.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
WHITEHOUSECONFERENCEONAGING.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
WOMENSHEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",Washington,responsibledisclosure@hhs.gov
YOUTH.GOV,Federal Agency - Executive,Department of Health and Human Services,Assistant Secretary for Planning and Evaluation,Washington,responsibledisclosure@hhs.gov
BIOMETRICS.GOV,Federal Agency - Executive,Department of Homeland Security,US-VISIT,Arlington,IS2OSecurity@hq.dhs.gov
CBP.GOV,Federal Agency - Executive,Department of Homeland Security, U.S. Customs and Border Protection,Washington,CBPSOC@cbp.dhs.gov
CISA.GOV,Federal Agency - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,IS2OSecurity@hq.dhs.gov
CPNIREPORTING.GOV,Federal Agency - Executive,Department of Homeland Security,United States Secret Service,Washington,megan.mcgraw@usss.dhs.gov
CYBER.GOV,Federal Agency - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,IS2OSecurity@hq.dhs.gov
CYBERSECURITY.GOV,Federal Agency - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,IS2OSecurity@hq.dhs.gov
DHS.GOV,Federal Agency - Executive,Department of Homeland Security,Headquarters,Washington,IS2OSecurity@hq.dhs.gov
DISASTERASSISTANCE.GOV,Federal Agency - Executive,Department of Homeland Security,Federal Emergency Management Agency,Bluemont,fema-soc@fema.dhs.gov
E-VERIFY.GOV,Federal Agency - Executive,Department of Homeland Security,USCIS,Washington,jeffrey.y.oppong@uscis.dhs.gov
EVERIFY.GOV,Federal Agency - Executive,Department of Homeland Security,USCIS,Washington,jeffrey.y.oppong@uscis.dhs.gov
EVUS.GOV,Federal Agency - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,IS2OSecurity@hq.dhs.gov
FEMA.GOV,Federal Agency - Executive,Department of Homeland Security,FEMA,Washington,fema-soc@fema.dhs.gov
FIRSTRESPONDER.GOV,Federal Agency - Executive,Department of Homeland Security,Department of Homeland Security Science & Technology,Washington,IS2OSecurity@hq.dhs.gov
FIRSTRESPONDERTRAINING.GOV,Federal Agency - Executive,Department of Homeland Security,Office for Domestic Preparedness,Washington,fema-soc@fema.dhs.gov
FLETA.GOV,Federal Agency - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,Glynco,FLETCCSIRC@fletc.dhs.gov
FLETC.GOV,Federal Agency - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,Glynco,FLETCCSIRC@fletc.dhs.gov
FLIGHTSCHOOLCANDIDATES.GOV,Federal Agency - Executive,Department of Homeland Security,TSA CPO,Rockville,tsa-oit-tsd-sec@tsa.dhs.gov
FLOODSMART.GOV,Federal Agency - Executive,Department of Homeland Security,FEMA,Bluemont,fema-soc@fema.dhs.gov
GLOBALENTRY.GOV,Federal Agency - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,CBPSOC@cbp.dhs.gov
HOMELANDSECURITY.GOV,Federal Agency - Executive,Department of Homeland Security,Headquarters,Washington,IS2OSecurity@hq.dhs.gov
ICE.GOV,Federal Agency - Executive,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Washington,IS2OSecurity@hq.dhs.gov
LISTO.GOV,Federal Agency - Executive,Department of Homeland Security,Office of Public Affairs,Washington,fema-soc@fema.dhs.gov
NIEM.GOV,Federal Agency - Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",Washington,IS2OSecurity@hq.dhs.gov
NMSC.GOV,Federal Agency - Executive,Department of Homeland Security,National Marine Center,St Augustine,bertram.dobrie@cbp.dhs.gov
READY.GOV,Federal Agency - Executive,Department of Homeland Security,Office of Public Affairs,Washington,fema-soc@fema.dhs.gov
READYBUSINESS.GOV,Federal Agency - Executive,Department of Homeland Security,FEMA,Washington,fema-soc@fema.dhs.gov
SAFETYACT.GOV,Federal Agency - Executive,Department of Homeland Security,Science and Technology,Washington,malik.locket@st.dhs.gov
SCHOOLSAFETY.GOV,Federal Agency - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,is2osecurity@hq.dhs.gov
SECRETSERVICE.GOV,Federal Agency - Executive,Department of Homeland Security,United States Secret Service   ,Washington,IS2OSecurity@hq.dhs.gov
TSA.GOV,Federal Agency - Executive,Department of Homeland Security,Transportation Security Administration,Arlington,GRC_Compliance@tsa.dhs.gov
US-CERT.GOV,Federal Agency - Executive,Department of Homeland Security,US-CERT,Washington,moe-cirt@us-cert.gov
USCG.GOV,Federal Agency - Executive,Department of Homeland Security,U. S. Coast Guard C5I Service Center,Alexandria,Security@uscg.mil
USCIS.GOV,Federal Agency - Executive,Department of Homeland Security,USCIS,Washington,jeffrey.y.oppong@uscis.dhs.gov
USSS.GOV,Federal Agency - Executive,Department of Homeland Security,United States Secret Service,Washington,megan.mcgraw@usss.dhs.gov
DISASTERHOUSING.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,vdp@hud.gov
FHA.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Dept. of Housing and Urban Development (HUD),Washington,vdp@hud.gov
GINNIEMAE.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Government National Mortgage Association,Washington,ron.e.espedido@hud.gov
HOMESALES.GOV,Federal Agency - Executive,Department of Housing and Urban Development,U. S. Department of Housing & Urban Development,Washington,vdp@hud.gov
HUD.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Web Master  Pulic Affair,Washington,vdp@hud.gov
HUDOIG.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Office of Inspector General,Washington,rramos@hudoig.gov
HUDUSER.GOV,Federal Agency - Executive,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Washington,support@huduser.gov
NATIONALHOUSING.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,vdp@hud.gov
NATIONALHOUSINGLOCATOR.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,vdp@hud.gov
NHL.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,vdp@hud.gov
NLS.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,vdp@hud.gov
OPPORTUNITYZONES.GOV,Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,vdp@hud.gov
ADA.GOV,Federal Agency - Executive,Department of Justice,Civil Rights Division,Washington,Responsible_Disclosure@usdoj.gov
AMBERALERT.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
ATF.GOV,Federal Agency - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Washington,Responsible_Disclosure@usdoj.gov
ATFONLINE.GOV,Federal Agency - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,Responsible_Disclosure@usdoj.gov
BATS.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Potomac,Responsible_Disclosure@usdoj.gov
BIOMETRICCOE.GOV,Federal Agency - Executive,Department of Justice,FBI CJIS,Clarksburg,Responsible_Disclosure@usdoj.gov
BJA.GOV,Federal Agency - Executive,Department of Justice,Office of Justice Programs,Washington ,Responsible_Disclosure@usdoj.gov
BJS.GOV,Federal Agency - Executive,Department of Justice,Office of Justice Programs,Washington,Responsible_Disclosure@usdoj.gov
BOP.GOV,Federal Agency - Executive,Department of Justice,Federal Bureau of Prisons,Washington,Responsible_Disclosure@usdoj.gov
CAMPUSDRUGPREVENTION.GOV,Federal Agency - Executive,Department of Justice,Drug Enforcement Administration,Springfield,Responsible_Disclosure@usdoj.gov
CJIS.GOV,Federal Agency - Executive,Department of Justice,Federal Bureau of Investigation,Washington,Responsible_Disclosure@usdoj.gov
CRIMESOLUTIONS.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Progrms (OJP)",Washinton ,Responsible_Disclosure@usdoj.gov
CRIMEVICTIMS.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
CYBERCRIME.GOV,Federal Agency - Executive,Department of Justice,Criminal Division,Washington,Responsible_Disclosure@usdoj.gov
DEA.GOV,Federal Agency - Executive,Department of Justice,Drug Enforcement Administration,Springfield,Responsible_Disclosure@usdoj.gov
DEAECOM.GOV,Federal Agency - Executive,Department of Justice,Drug Enforcement Administration,Washington,Responsible_Disclosure@usdoj.gov
DOJ.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Washington,Responsible_Disclosure@usdoj.gov
DSAC.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",Potomac,Responsible_Disclosure@usdoj.gov
ELDERJUSTICE.GOV,Federal Agency - Executive,Department of Justice,"Department of Justice, Civil Division",Washington,Responsible_Disclosure@usdoj.gov
EPIC.GOV,Federal Agency - Executive,Department of Justice,Drug Enforcement Administration,Washington,Responsible_Disclosure@usdoj.gov
FARA.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, National Security Division",Washington,Responsible_Disclosure@usdoj.gov
FBI.GOV,Federal Agency - Executive,Department of Justice,FBI,Washington,Responsible_Disclosure@usdoj.gov
FBIJOBS.GOV,Federal Agency - Executive,Department of Justice,Federal Bureau of Investigation,Washington,Responsible_Disclosure@usdoj.gov
FIRSTFREEDOM.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Potomac,Responsible_Disclosure@usdoj.gov
FOIA.GOV,Federal Agency - Executive,Department of Justice,"Department of Justice, Office of e-Government",Washington,Responsible_Disclosure@usdoj.gov
FORFEITURE.GOV,Federal Agency - Executive,Department of Justice,"Criminal Division, Asset Forfeiture and Money Laundering Section (AFMLS)",Potomac,Responsible_Disclosure@usdoj.gov
FPI.GOV,Federal Agency - Executive,Department of Justice,Federal Prison Industries,Washington,Responsible_Disclosure@usdoj.gov
GETSMARTABOUTDRUGS.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, DEA",Springfield,Responsible_Disclosure@usdoj.gov
HIG.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Washington,Responsible_Disclosure@usdoj.gov
IC3.GOV,Federal Agency - Executive,Department of Justice,Internet Crime Complaint Center,Fairmont,Responsible_Disclosure@usdoj.gov
INTERPOL.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",Potomac,Responsible_Disclosure@usdoj.gov
IPRCENTER.GOV,Federal Agency - Executive,Department of Justice,U.S Immigration and Customs Enforcement,Washington,Responsible_Disclosure@usdoj.gov
JUSTICE.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Washington,Responsible_Disclosure@usdoj.gov
JUSTTHINKTWICE.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Drug Enforcement Administration",Springfield,Responsible_Disclosure@usdoj.gov
JUVENILECOUNCIL.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
LEARNATF.GOV,Federal Agency - Executive,Department of Justice,ATF,Washington,Responsible_Disclosure@usdoj.gov
LEARNDOJ.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Washington,Responsible_Disclosure@usdoj.gov
LEO.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, FBI, LEO",Potomac,Responsible_Disclosure@usdoj.gov
LEP.GOV,Federal Agency - Executive,Department of Justice,Civil Rights Division,Washington,Responsible_Disclosure@usdoj.gov
MALWAREINVESTIGATOR.GOV,Federal Agency - Executive,Department of Justice,Federal Bureau of Investigation,Washington,Responsible_Disclosure@usdoj.gov
MEDALOFVALOR.GOV,Federal Agency - Executive,Department of Justice,U.S. Department of Justice,Potomac,Responsible_Disclosure@usdoj.gov
NAMUS.GOV,Federal Agency - Executive,Department of Justice,"U. S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
NATIONALGANGCENTER.GOV,Federal Agency - Executive,Department of Justice,Institute for Intergovernmental Research,Tallahassee,Responsible_Disclosure@usdoj.gov
NCIRC.GOV,Federal Agency - Executive,Department of Justice,Institute for Intergovernemental Research,Tallahassee,Responsible_Disclosure@usdoj.gov
NCJRS.GOV,Federal Agency - Executive,Department of Justice,United States Department of Justice,Potomac,Responsible_Disclosure@usdoj.gov
NICIC.GOV,Federal Agency - Executive,Department of Justice,"Department of Justice, National Institute of Corrections",Washington,Responsible_Disclosure@usdoj.gov
NICSEZCHECKFBI.GOV,Federal Agency - Executive,Department of Justice,Federal Bureu of Investigation,Washington,Responsible_Disclosure@usdoj.gov
NIJ.GOV,Federal Agency - Executive,Department of Justice,Office of Justice Programs ,Washington,Responsible_Disclosure@usdoj.gov
NMVTIS.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, OJP",Washington,Responsible_Disclosure@usdoj.gov
NSOPR.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
NSOPW.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
NVTC.GOV,Federal Agency - Executive,Department of Justice,National Virtual Translation Center,Washington,Responsible_Disclosure@usdoj.gov
OJJDP.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Jusice, Office of Justice Programs",Potomac,Responsible_Disclosure@usdoj.gov
OJP.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Prograns (OJP)",Washington,Responsible_Disclosure@usdoj.gov
OVC.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Potomac,Responsible_Disclosure@usdoj.gov
OVCTTAC.GOV,Federal Agency - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,Responsible_Disclosure@usdoj.gov
